Cohort Year,Year,School,Conference,Sport,State,GSR,FGR,,
2011,2017-2018,North Carolina A&T State University,Mid-Eastern Athletic Conf.,Football,NC,51,46,,
2011,2017-2018,North Carolina Central University,Mid-Eastern Athletic Conf.,Football,NC,66,48,,
2011,2017-2018,North Carolina State University,Atlantic Coast Conference,Football,NC,74,61,,
2011,2017-2018,North Dakota State University,Missouri Valley Football Conference,Football,ND,70,58,,
2011,2017-2018,University of North Dakota,Big Sky Conference,Football,ND,74,64,,
2011,2017-2018,University of North Texas,Conference USA,Football,TX,80,65,,
2011,2017-2018,University of Louisiana at Monroe,Sun Belt Conference,Football,LA,72,63,,
2011,2017-2018,Northern Arizona University,Big Sky Conference,Football,AZ,75,54,,
2011,2017-2018,University of Northern Colorado,Big Sky Conference,Football,CO,84,62,,
2011,2017-2018,Northern Illinois University,Mid-American Conference,Football,IL,83,63,,
2011,2017-2018,University of Northern Iowa,Missouri Valley Football Conference,Football,IA,71,53,,
2011,2017-2018,Northwestern State University,Southland Conference,Football,LA,68,54,,
2011,2017-2018,Northwestern University,Big Ten Conference,Football,IL,99,92,,
2011,2017-2018,University of Notre Dame,Independent,Football,IN,95,87,,
2011,2017-2018,The Ohio State University,Big Ten Conference,Football,OH,64,44,,
2011,2017-2018,Ohio University,Mid-American Conference,Football,OH,80,68,,
2011,2017-2018,Oklahoma State University,Big 12 Conference,Football,OK,46,36,,
2011,2017-2018,University of Oklahoma,Big 12 Conference,Football,OK,76,59,,
2011,2017-2018,Old Dominion University,Conference USA,Football,VA,70,49,,
2011,2017-2018,Oregon State University,Pac-12 Conference,Football,OR,64,47,,
2011,2017-2018,University of Oregon,Pac-12 Conference,Football,OR,71,63,,
2011,2017-2018,Pennsylvania State University,Big Ten Conference,Football,PA,82,66,,
2011,2017-2018,University of Pennsylvania,The Ivy League,Football,PA,94,90,,
2011,2017-2018,University of Pittsburgh,Atlantic Coast Conference,Football,PA,75,49,,
2011,2017-2018,Portland State University,Big Sky Conference,Football,OR,63,52,,
2011,2017-2018,Prairie View A&M University,Southwestern Athletic Conf.,Football,TX,61,51,,
