ds,yhat,yhat_lower,yhat_upper,zipcode
2018-06-01,2673382.9995246627,2569335.2420592094,2761979.833905452,94040
2018-07-01,2692517.4552722713,2575375.549057523,2816860.806044404,94040
2018-08-01,2734782.9301089155,2596401.971529352,2871875.070663479,94040
2018-09-01,2772865.983131011,2598104.460922227,2941139.7029443756,94040
2018-10-01,2794508.587205711,2595985.4341173945,2988489.130474335,94040
2018-11-01,2832849.644649226,2604560.2766655446,3050161.3060686924,94040
2018-12-01,2856002.541750544,2604169.255673984,3118374.749590988,94040
2018-01-01,1950156.5884238998,1907192.43435511,1989135.7934253814,94041
2018-02-01,1967534.9074696796,1927764.2678599642,2007703.2767197238,94041
2018-03-01,1980745.1375883755,1935777.7299553654,2022345.0341948126,94041
2018-04-01,1998397.7003976053,1949417.8428180525,2043349.952940698,94041
2018-05-01,2011628.231194887,1961680.1893331234,2061236.347985329,94041
2018-06-01,2029499.3281349377,1962675.5785271144,2091701.055788962,94041
2018-07-01,2044898.4850879689,1965626.1612080634,2115135.2470891043,94041
2018-08-01,2064295.3817342722,1968120.4033137842,2163569.772256551,94041
2018-09-01,2080592.673560213,1972967.4586429838,2181738.767524972,94041
2018-10-01,2096904.269460349,1965599.7032234336,2214429.207710832,94041
2018-11-01,2119805.409731829,1963482.5436501775,2250608.589180486,94041
2018-12-01,2136550.5324761826,1948215.1270229965,2271451.896734113,94041
2018-01-01,1816463.7119234032,1781728.5466278973,1849805.2933017348,94043
2018-02-01,1841297.5047282567,1805366.9263378086,1876787.5223160104,94043
2018-03-01,1840074.2894430088,1803588.2511110138,1876211.11339511,94043
2018-04-01,1865186.757066865,1822073.8673582594,1905428.057583922,94043
2018-05-01,1881306.218049998,1830561.4283091575,1925844.9962940104,94043
2018-06-01,1907963.801027566,1856079.041316054,1961530.746766105,94043
2018-07-01,1924190.4517412332,1858978.2731599216,1986882.2339240164,94043
2018-08-01,1952611.9434796495,1877935.0080887186,2031574.2749298832,94043
2018-09-01,1979450.0282549143,1890493.3953881992,2065446.9329455674,94043
2018-10-01,1996485.5006799675,1896009.9424544866,2102196.5838090098,94043
2018-11-01,2024995.0948590115,1904838.0729755913,2154860.8587908787,94043
2018-12-01,2041410.3807238233,1925557.4663748275,2183017.5749416184,94043
2018-01-01,962426.1587593253,952769.7885996563,971438.2997215074,94044
2018-02-01,968391.5334843526,958492.5842429686,979258.2469743602,94044
2018-03-01,974861.7068617599,962301.8869560612,986001.2719333676,94044
2018-04-01,981733.3948236593,963326.823150584,999578.5323320491,94044
2018-05-01,987776.621746316,961307.3478394673,1009634.6551553876,94044
2018-06-01,993471.7281796332,958978.7678243839,1026089.4768824697,94044
2018-07-01,999750.174934733,957963.6393267473,1041532.804845404,94044
2018-08-01,1007707.373083756,956802.9778278905,1057592.6725272005,94044
2018-09-01,1014141.4087017204,956693.0515549281,1076904.8790786553,94044
2018-10-01,1019630.8784613947,952342.8914104986,1095885.7990593282,94044
2018-11-01,1027396.3740991974,950907.6505462463,1116615.6425971286,94044
2018-12-01,1034402.9315956547,948855.1099410224,1141023.3636476623,94044
2018-01-01,1543513.609224299,1513456.4395613398,1578231.0541874652,94061
